"名称","面  積(ha)","市町村別","面積（ha）","指定等年月日","公園の特色"
"瀬戸内海国立公園","482.0","和歌山市","482.0","      S25.  5. 18、      S31.  5.  1、      S38.  3.  9、      S57.  2. 17、      H 3.  7. 26","  海岸美"
"吉野熊野国立公園","11498.0","田辺市","1778.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"吉野熊野国立公園","11498.0","新宮市","4225.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"吉野熊野国立公園","11498.0","那智勝浦町","2079.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"吉野熊野国立公園","11498.0","太地町","209.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"吉野熊野国立公園","11498.0","北山村","1764.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"吉野熊野国立公園","11498.0","串本町","1443.0","      S11.  2.  1、      S25.  2. 15、      S45.  7.  1、      S56.  7. 20、      S63. 11.  7、      H18.  1. 19","  海岸美,渓谷美,  滝,山岳美,海域  公園,温泉"
"高野龍神国定公園","14042.0","田辺市","5477.0","      S42.  3. 23、      H 2.  4.  6","  古寺,山岳美,温泉"
"高野龍神国定公園","14042.0","かつらぎ町","2265.0","      S42.  3. 23、      H 2.  4.  6","  古寺,山岳美,温泉"
"高野龍神国定公園","14042.0","高野町","5451.0","      S42.  3. 23、      H 2.  4.  6","  古寺,山岳美,温泉"
"高野龍神国定公園","14042.0","有田川町","849.0","      S42.  3. 23、      H 2.  4.  6","  古寺,山岳美,温泉"
"金剛生駒紀泉国定公園","2704.0","橋本市","1726.0","      H 8. 10.  2","  山岳美,ブナ林"
"金剛生駒紀泉国定公園","2704.0","紀の川市","212.0","      H 8. 10.  2","  山岳美,ブナ林"
"金剛生駒紀泉国定公園","2704.0","かつらぎ町","766.0","      H 8. 10.  2","  山岳美,ブナ林"
